distance_from_food_x,distance_from_food_y,action
0.148,-0.014,LEFT
0.138,-0.014,LEFT
0.128,-0.014,LEFT
0.118,-0.014,LEFT
0.108,-0.014,LEFT
0.098,-0.014,LEFT
0.088,-0.014,LEFT
0.078,-0.014,LEFT
0.068,-0.014,LEFT
0.058,-0.014,LEFT
0.048,-0.014,LEFT
0.038,-0.014,LEFT
0.028,-0.014,LEFT
-0.784,-0.094,LEFT
-0.784,-0.084,DOWN
-0.784,-0.074,DOWN
-0.784,-0.064,DOWN
-0.784,-0.054,DOWN
-0.784,-0.044,DOWN
-0.784,-0.034,DOWN
-0.784,-0.024,DOWN
-0.784,-0.014,DOWN
-0.784,-0.004,DOWN
-0.784,0.006,DOWN
-0.774,0.006,RIGHT
-0.764,0.006,RIGHT
-0.754,0.006,RIGHT
-0.744,0.006,RIGHT
-0.734,0.006,RIGHT
-0.724,0.006,RIGHT
-0.714,0.006,RIGHT
-0.704,0.006,RIGHT
-0.694,0.006,RIGHT
-0.684,0.006,RIGHT
-0.674,0.006,RIGHT
-0.664,0.006,RIGHT
-0.654,0.006,RIGHT
-0.644,0.006,RIGHT
-0.634,0.006,RIGHT
-0.624,0.006,RIGHT
-0.614,0.006,RIGHT
-0.604,0.006,RIGHT
-0.594,0.006,RIGHT
-0.584,0.006,RIGHT
-0.574,0.006,RIGHT
-0.564,0.006,RIGHT
-0.554,0.006,RIGHT
-0.544,0.006,RIGHT
-0.534,0.006,RIGHT
-0.524,0.006,RIGHT
-0.514,0.006,RIGHT
-0.504,0.006,RIGHT
-0.494,0.006,RIGHT
-0.484,0.006,RIGHT
-0.474,0.006,RIGHT
-0.464,0.006,RIGHT
-0.454,0.006,RIGHT
-0.444,0.006,RIGHT
-0.434,0.006,RIGHT
-0.424,0.006,RIGHT
-0.414,0.006,RIGHT
-0.404,0.006,RIGHT
-0.394,0.006,RIGHT
-0.384,0.006,RIGHT
-0.374,0.006,RIGHT
-0.364,0.006,RIGHT
-0.354,0.006,RIGHT
-0.344,0.006,RIGHT
-0.334,0.006,RIGHT
-0.324,0.006,RIGHT
-0.314,0.006,RIGHT
-0.304,0.006,RIGHT
-0.294,0.006,RIGHT
-0.284,0.006,RIGHT
-0.274,0.006,RIGHT
-0.264,0.006,RIGHT
-0.254,0.006,RIGHT
-0.244,0.006,RIGHT
-0.234,0.006,RIGHT
-0.224,0.006,RIGHT
-0.214,0.006,RIGHT
-0.204,0.006,RIGHT
-0.194,0.006,RIGHT
-0.184,0.006,RIGHT
-0.174,0.006,RIGHT
-0.164,0.006,RIGHT
-0.154,0.006,RIGHT
-0.144,0.006,RIGHT
-0.134,0.006,RIGHT
-0.124,0.006,RIGHT
-0.114,0.006,RIGHT
-0.104,0.006,RIGHT
-0.094,0.006,RIGHT
-0.084,0.006,RIGHT
-0.074,0.006,RIGHT
-0.064,0.006,RIGHT
-0.054,0.006,RIGHT
-0.044,0.006,RIGHT
-0.034,0.006,RIGHT
-0.024,0.006,RIGHT
0.076,0.0,RIGHT
0.066,0.0,LEFT
0.056,0.0,LEFT
0.046,0.0,LEFT
0.036,0.0,LEFT
0.026,0.0,LEFT
-0.152,0.024,LEFT
-0.142,0.024,RIGHT
-0.132,0.024,RIGHT
-0.122,0.024,RIGHT
-0.112,0.024,RIGHT
-0.102,0.024,RIGHT
-0.092,0.024,RIGHT
-0.082,0.024,RIGHT
-0.072,0.024,RIGHT
-0.062,0.024,RIGHT
-0.052,0.024,RIGHT
-0.042,0.024,RIGHT
-0.032,0.024,RIGHT
-0.022,0.024,RIGHT
0.152,-0.336,RIGHT
0.152,-0.326,DOWN
0.152,-0.316,DOWN
0.152,-0.306,DOWN
0.152,-0.296,DOWN
0.152,-0.286,DOWN
0.152,-0.276,DOWN
0.152,-0.266,DOWN
0.152,-0.256,DOWN
0.152,-0.246,DOWN
0.152,-0.236,DOWN
0.152,-0.226,DOWN
0.152,-0.216,DOWN
0.152,-0.206,DOWN
0.152,-0.196,DOWN
0.152,-0.186,DOWN
0.152,-0.176,DOWN
0.152,-0.166,DOWN
0.152,-0.156,DOWN
0.152,-0.146,DOWN
0.152,-0.136,DOWN
0.152,-0.126,DOWN
0.152,-0.116,DOWN
0.152,-0.106,DOWN
0.152,-0.096,DOWN
0.152,-0.086,DOWN
0.152,-0.076,DOWN
0.152,-0.066,DOWN
0.152,-0.056,DOWN
0.152,-0.046,DOWN
0.152,-0.036,DOWN
0.152,-0.026,DOWN
0.152,-0.016,DOWN
0.142,-0.016,LEFT
0.132,-0.016,LEFT
0.122,-0.016,LEFT
0.112,-0.016,LEFT
0.102,-0.016,LEFT
0.092,-0.016,LEFT
0.082,-0.016,LEFT
0.072,-0.016,LEFT
0.062,-0.016,LEFT
0.052,-0.016,LEFT
0.042,-0.016,LEFT
0.032,-0.016,LEFT
0.022,-0.016,LEFT
0.614,-0.354,LEFT
0.614,-0.344,DOWN
0.614,-0.334,DOWN
0.614,-0.324,DOWN
0.614,-0.314,DOWN
0.614,-0.304,DOWN
0.614,-0.294,DOWN
0.614,-0.284,DOWN
0.614,-0.274,DOWN
0.614,-0.264,DOWN
0.614,-0.254,DOWN
0.614,-0.244,DOWN
0.614,-0.234,DOWN
0.614,-0.224,DOWN
0.614,-0.214,DOWN
0.614,-0.204,DOWN
0.614,-0.194,DOWN
0.614,-0.184,DOWN
0.614,-0.174,DOWN
0.614,-0.164,DOWN
0.614,-0.154,DOWN
0.614,-0.144,DOWN
0.614,-0.134,DOWN
0.614,-0.124,DOWN
0.614,-0.114,DOWN
0.614,-0.104,DOWN
0.614,-0.094,DOWN
0.614,-0.084,DOWN
0.614,-0.074,DOWN
0.614,-0.064,DOWN
0.614,-0.054,DOWN
0.614,-0.044,DOWN
0.614,-0.034,DOWN
0.614,-0.024,DOWN
0.604,-0.024,LEFT
0.594,-0.024,LEFT
0.584,-0.024,LEFT
0.574,-0.024,LEFT
0.564,-0.024,LEFT
0.554,-0.024,LEFT
0.544,-0.024,LEFT
0.534,-0.024,LEFT
0.524,-0.024,LEFT
0.514,-0.024,LEFT
0.514,-0.014,DOWN
0.504,-0.014,LEFT
0.494,-0.014,LEFT
0.484,-0.014,LEFT
